date,gbp_rate
2020-02-24,5.7281
2020-02-25,5.7552
2020-02-26,5.7166
2020-02-27,5.6544
2020-02-28,5.6207
2020-03-02,5.5453
2020-03-03,5.5327
2020-03-04,5.5187
2020-03-05,5.5639
2020-03-06,5.5299
2020-03-09,5.5238
2020-03-10,5.5361
2020-03-11,5.5035
2020-03-12,5.4637
2020-03-13,5.4379
2020-03-16,5.3162
2020-03-17,5.3123
2020-03-18,5.2799
2020-03-19,5.1647
2020-03-20,5.3177
2020-03-23,5.2518
2020-03-24,5.2435
2020-03-25,5.3303
2020-03-26,5.2732
2020-03-27,5.3759
2020-03-30,5.4096
2020-03-31,5.423
2020-04-01,5.4549
2020-04-02,5.4966
2020-04-03,5.4858
2020-04-06,5.4926
2020-04-07,5.4595
2020-04-08,5.4833
2020-04-09,5.5115
2020-04-10,5.5048
2020-04-13,5.5222
2020-04-14,5.5399
2020-04-15,5.5327
2020-04-16,5.5532
2020-04-21,5.51
2020-04-22,5.5039
2020-04-23,5.5441
2020-04-24,5.5423
2020-04-27,5.5421
2020-04-28,5.5638
2020-04-29,5.5378
2020-04-30,5.5644
2020-05-04,5.5023
2020-05-05,5.5397
2020-05-06,5.5335
2020-05-07,5.5241
2020-05-08,5.5143
2020-05-11,5.5163
2020-05-12,5.5046
2020-05-13,5.4873
2020-05-14,5.4709
2020-05-15,5.461
2020-05-18,5.4272
2020-05-19,5.4121
2020-05-20,5.4205
2020-05-21,5.4004
2020-05-22,5.4112
2020-05-25,5.4098
2020-05-26,5.4384
2020-05-27,5.4302
2020-05-28,5.3915
2020-05-29,5.3509
2020-06-02,5.4413
2020-06-03,5.4325
2020-06-04,5.4094
2020-06-05,5.3923
2020-06-09,5.4253
2020-06-10,5.4251
2020-06-11,5.3944
2020-06-12,5.3957
2020-06-15,5.3857
2020-06-16,5.4006
2020-06-17,5.3938
2020-06-18,5.3759
2020-06-19,5.3608
2020-06-22,5.3577
2020-06-23,5.3408
2020-06-24,5.3611
2020-06-25,5.3638
2020-06-26,5.3454
2020-06-29,5.3026
2020-06-30,5.302
2020-07-01,5.3459
2020-07-02,5.3578
2020-07-03,5.3598
2020-07-06,5.3551
2020-07-07,5.3548
2020-07-08,5.377
2020-07-09,5.4099
2020-07-10,5.4092
2020-07-13,5.3932
2020-07-14,5.3361
2020-07-15,5.3434
2020-07-16,5.3298
2020-07-17,5.325
2020-07-20,5.3222
2020-07-21,5.3686
2020-07-22,5.3141
2020-07-23,5.31
2020-07-24,5.3057
2020-07-27,5.2972
2020-07-28,5.306
2020-07-29,5.3361
2020-07-30,5.3435
2020-07-31,5.3503
2020-08-03,5.3685
2020-08-04,5.3537
2020-08-05,5.3448
2020-08-06,5.3679
2020-08-07,5.3607
2020-08-10,5.3702
2020-08-11,5.3722
2020-08-12,5.3638
2020-08-13,5.3431
2020-08-14,5.3603
2020-08-17,5.346
2020-08-18,5.3483
2020-08-19,5.3653
2020-08-20,5.3612
2020-08-21,5.3925
2020-08-24,5.367
2020-08-25,5.3635
2020-08-26,5.3863
2020-08-27,5.4096
2020-08-28,5.3997
2020-08-31,5.4077
2020-09-01,5.4301
2020-09-02,5.4502
2020-09-03,5.4435
2020-09-04,5.4424
2020-09-07,5.4142
2020-09-08,5.3754
2020-09-09,5.3437
2020-09-10,5.3424
2020-09-11,5.2304
2020-09-14,5.2637
2020-09-15,5.2659
2020-09-16,5.2943
2020-09-17,5.3445
2020-09-18,5.322
2020-09-21,5.2937
2020-09-22,5.291
2020-09-23,5.2908
2020-09-24,5.3309
2020-09-25,5.3319
2020-09-28,5.3758
2020-09-29,5.3626
2020-09-30,5.3406
2020-10-01,5.3291
2020-10-02,5.3737
2020-10-05,5.3661
2020-10-06,5.3722
2020-10-07,5.3407
2020-10-08,5.3588
2020-10-09,5.343
2020-10-12,5.3746
2020-10-13,5.3939
2020-10-14,5.3746
2020-10-15,5.3977
2020-10-16,5.3835
2020-10-19,5.3917
2020-10-20,5.3552
2020-10-21,5.3705
2020-10-22,5.3917
2020-10-23,5.3849
2020-10-26,5.3888
2020-10-27,5.3742
2020-10-28,5.3881
2020-10-29,5.4016
2020-10-30,5.4111
2020-11-02,5.3964
2020-11-03,5.4047
2020-11-04,5.4071
2020-11-05,5.3854
2020-11-06,5.3896
2020-11-09,5.3867
2020-11-10,5.4682
2020-11-11,5.4777
2020-11-12,5.4355
2020-11-13,5.4287
2020-11-16,5.4221
2020-11-17,5.4361
2020-11-18,5.4533
2020-11-19,5.4549
2020-11-20,5.4535
2020-11-23,5.482
2020-11-24,5.4738
2020-11-25,5.4563
2020-11-26,5.4621
2020-11-27,5.4471
2020-12-02,5.3981
2020-12-03,5.3968
2020-12-04,5.3819
2020-12-07,5.3415
2020-12-08,5.3697
2020-12-09,5.4014
2020-12-10,5.357
2020-12-11,5.3063
2020-12-14,5.3833
2020-12-15,5.3369
2020-12-16,5.3884
2020-12-17,5.4144
2020-12-18,5.3695
2020-12-21,5.2964
2020-12-22,5.339
2020-12-23,5.3664
2020-12-24,5.4354
2020-12-28,5.3833
2020-12-29,5.3646
2020-12-30,5.3968
2020-12-31,5.4201
2021-01-04,5.4234
2021-01-05,5.3871
2021-01-06,5.3943
2021-01-07,5.3938
2021-01-08,5.4055
2021-01-11,5.4061
2021-01-12,5.4451
2021-01-13,5.4734
2021-01-14,5.4698
2021-01-15,5.4853
2021-01-18,5.4696
2021-01-19,5.4736
2021-01-20,5.5103
2021-01-21,5.5099
2021-01-22,5.4696
2021-01-25,5.4892
2021-01-26,5.4869
2021-01-27,5.521
2021-01-28,5.4989
2021-01-29,5.5021
2021-02-01,5.5304
2021-02-02,5.5385
2021-02-03,5.5277
2021-02-04,5.5185
2021-02-05,5.572
2021-02-08,5.5475
2021-02-09,5.5449
2021-02-10,5.5666
2021-02-11,5.5555
2021-02-12,5.5516
2021-02-15,5.5881
2021-02-16,5.5845
2021-02-17,5.603
2021-02-18,5.6275
2021-02-19,5.6193
2021-02-22,5.6364
2021-02-23,5.6522
2021-02-24,5.6714
2021-02-25,5.6427
2021-02-26,5.5894
2021-03-01,5.6469
2021-03-02,5.6329
2021-03-03,5.6412
2021-03-04,5.6437
2021-03-05,5.6478
2021-03-08,5.6917
2021-03-09,5.6953
2021-03-10,5.7063
2021-03-11,5.7012
2021-03-12,5.7102
2021-03-15,5.704
2021-03-16,5.6631
2021-03-17,5.7122
2021-03-18,5.7195
2021-03-19,5.7191
2021-03-22,5.6806
2021-03-23,5.6603
2021-03-24,5.6666
2021-03-25,5.6769
2021-03-26,5.7147
2021-03-29,5.7486
2021-03-30,5.7614
2021-03-31,5.7864
2021-04-01,5.7615
2021-04-02,5.7656
2021-04-05,5.8021
2021-04-06,5.7576
2021-04-07,5.7192
2021-04-08,5.7007
2021-04-09,5.6712
2021-04-12,5.6802
2021-04-13,5.6963
2021-04-14,5.6719
2021-04-15,5.6701
2021-04-16,5.6647
2021-04-19,5.6851
2021-04-20,5.7162
2021-04-21,5.7173
2021-04-22,5.687
2021-04-23,5.6702
2021-04-26,5.6625
2021-04-27,5.6666
2021-04-28,5.6704
2021-04-29,5.67
2021-05-04,5.6937
2021-05-05,5.703
2021-05-06,5.6915
2021-05-07,5.677
2021-05-10,5.7056
2021-05-11,5.7238
2021-05-12,5.7396
2021-05-13,5.7278
2021-05-14,5.7191
2021-05-17,5.7135
2021-05-18,5.7268
2021-05-19,5.7168
2021-05-20,5.7099
2021-05-21,5.7258
2021-05-24,5.7028
2021-05-25,5.6978
2021-05-26,5.6934
2021-05-27,5.6948
2021-05-28,5.7248
2021-05-31,5.7227
2021-06-02,5.7129
2021-06-03,5.7264
2021-06-04,5.7405
2021-06-07,5.7231
2021-06-08,5.718
2021-06-09,5.724
2021-06-10,5.7025
2021-06-11,5.7275
2021-06-14,5.7235
2021-06-15,5.7176
2021-06-16,5.7324
2021-06-17,5.762
2021-06-18,5.7441
2021-06-22,5.7465
2021-06-23,5.7599
2021-06-24,5.7569
2021-06-25,5.7365
2021-06-28,5.7413
2021-06-29,5.7335
2021-06-30,5.7374
2021-07-01,5.7244
2021-07-02,5.7313
2021-07-05,5.7466
2021-07-06,5.762
2021-07-07,5.7498
2021-07-08,5.7432
2021-07-09,5.7364
2021-07-12,5.7605
2021-07-13,5.7669
2021-07-14,5.7874
2021-07-15,5.7553
2021-07-16,5.7641
2021-07-19,5.7448
2021-07-20,5.7006
2021-07-21,5.7032
2021-07-22,5.736
2021-07-23,5.7455
2021-07-26,5.7543
2021-07-27,5.755
2021-07-28,5.7767
2021-07-29,5.7815
2021-07-30,5.7754
2021-08-02,5.7547
2021-08-03,5.7564
2021-08-04,5.7813
2021-08-05,5.7837
2021-08-06,5.7886
2021-08-09,5.8033
2021-08-10,5.8096
2021-08-11,5.7973
2021-08-12,5.8012
2021-08-13,5.7715
2021-08-16,5.7744
2021-08-17,5.7713
2021-08-18,5.7806
2021-08-19,5.7682
2021-08-20,5.7544
2021-08-23,5.751
2021-08-24,5.758
2021-08-25,5.7568
2021-08-26,5.758
2021-08-27,5.7529
2021-08-30,5.7526
2021-08-31,5.7458
2021-09-01,5.7421
2021-09-02,5.7492
2021-09-03,5.7608
2021-09-06,5.7727
2021-09-07,5.7591
2021-09-08,5.7634
2021-09-09,5.7796
2021-09-10,5.7917
2021-09-13,5.7958
2021-09-14,5.8045
2021-09-15,5.7879
2021-09-16,5.8091
2021-09-17,5.788
2021-09-20,5.7761
2021-09-21,5.7725
2021-09-22,5.7509
2021-09-23,5.7704
2021-09-24,5.7803
2021-09-27,5.7938
2021-09-28,5.7829
2021-09-29,5.7361
2021-09-30,5.7431
2021-10-01,5.7634
2021-10-04,5.7889
2021-10-05,5.8088
2021-10-06,5.8103
2021-10-07,5.8144
2021-10-08,5.8251
2021-10-11,5.8318
2021-10-12,5.8252
2021-10-13,5.8337
2021-10-14,5.8472
2021-10-15,5.8523
2021-10-18,5.8686
2021-10-19,5.8603
2021-10-20,5.8649
2021-10-21,5.8624
2021-10-22,5.8655
2021-10-25,5.8502
2021-10-26,5.875
2021-10-27,5.8647
2021-10-28,5.8714
2021-10-29,5.8529
2021-11-01,5.8372
2021-11-02,5.8152
2021-11-03,5.8169
2021-11-04,5.8418
2021-11-05,5.7641
2021-11-08,5.7713
2021-11-09,5.8026
2021-11-10,5.7863
2021-11-11,5.7794
2021-11-12,5.7907
2021-11-15,5.7994
2021-11-16,5.8592
2021-11-17,5.8778
2021-11-18,5.8893
2021-11-19,5.8794
2021-11-22,5.8918
2021-11-23,5.8777
2021-11-24,5.8974
2021-11-25,5.8752
2021-11-26,5.8407
